docente_id,docente_nome,docente_campus,nome_projeto,natureza,situacao,ano_inicio,ano_fim,descricao,papel,total_integrantes,integrantes
6018,Kelly De Oliveira Santos,Campus Ceilândia,Curso de Formação de Doulas,EXTENSAO,CONCLUIDO,2016,2017,"O projeto destina-se à formação de 100 doulas, sendo 50 no Campus Ceilândia e 50 no Campus São Sebastião do Instituto Federal de Brasília (IFB). Para tal, prevê a parceria com a Associação de Doulas do Distrito Federal (ADDF), que é a articuladora externa da proposta. A doula é a pessoa capacitada para acompanhar a mulher no processo de gestação, parto e pós-parto, oferecendo cuidados, orientação e apoio emocional. O curso terá duração total de 205 h.",Coordenador,10,Kelly de Oliveira Santos | Ednizia Ribeiro Araújo Kuhn | Nancy da Luz Davidis | Caroline Barbosa Farias Mourão | Eliene do Carmo Santos Nunes | João Henrique Gomes de Farias | Loryne Viana de Oliveira | Michelle Viana Batista | Marilda de Cássia Castro | Adele Boutaud Valarini
6018,Kelly De Oliveira Santos,Campus Ceilândia,Caixa de Ciências: um laboratório portátil para estudantes do Ensino Médio,PESQUISA,CONCLUIDO,2017,2021,"A proposta deste projeto é a construção e a validação junto a um grupo de estudantes do Ensino Médio, de uma caixa de ciência, que se configura como um kit portátil de laboratório que possibilita experimentações básicas de ciências envolvendo conceitos de Química, Física e Biologia, que pode ser transportado para lugares dentro e fora da escola. Para a construção dos produtos educacionais, faremos uso de metodologias ativas de aprendizagem, em uma abordagem centrada no estudante. Edital Progrupos 40/RIFB, de 01/11/2017.",Colaborador,2,Kelly de Oliveira Santos | Caroline Barbosa Farias Mourão
6018,Kelly De Oliveira Santos,Campus Ceilândia,Gatoeira inteligente,ENSINO,CONCLUIDO,2022,2024,"Obtenção de uma gatoeira inteligente, composta pela armadilha convencional, mas com a adição de dispositivos eletrônicos de sensor de movimento e de envio de alerta para a pessoa responsável pela captura. Desta forma, espera-se um aperfeiçoamento da técnica CED (capturar-esterilizar-devolver).",Coordenador,1,Kelly de Oliveira Santos
6020,Gaia Schüler Costa,Campus Recanto das Emas,CONATRAE 15 ANOS: imagens e imaginários da erradicação do trabalho análogo a escravidão no Brasil.,PESQUISA,CONCLUIDO,2018,2020,"Projeto de Pesquisa, parceria Entre IFB e Ministério dos Direitos Humanos, para produção de documentário.",Colaborador,2,Gaia Schüler Costa | Patrícia Barcelos
6020,Gaia Schüler Costa,Campus Recanto das Emas,Jogos e Narrativas Imersivas com Audiovisual e Realidade Aumentada,EXTENSAO,CONCLUIDO,2021,2022,"O Projeto de Extensão &quot;Jogos e Narrativas Imersivas com Audiovisual e Realidade Aumentada&quot; ofertou oficinas a estudantes dos anos finais do ensino fundamental e a estudantes do ensino médio na perspectiva de desenvolver competências quanto à programação de jogos e de narrativas hipertextuais imersivas. A iniciativa é apoiada pela Chamada Pública 03/2020/IFES/FACTO e consiste na oferta das oficinas por professores e estudantes bolsistas do IFB, visando atender estudantes da rede distrital de ensino, por meio de cooperação técnica com o Governo do Distrito Federal (GDF).&#10;&#10;Os estudantes participantes exploraram conceitos de programação intuitiva, princípios de realidade aumentada e noções sobre storytelling e audiovisual a partir do uso da plataforma e aplicativo Metaverse (https://studio.gometa.io/landing). Por meio da metodologia ativa Problem Based Learning (PBL), os estudantes investigaram o contexto escolar e social em que vivem e produziram uma aplicação interativa com o Metaverse, com recursos audiovisuais e de realidade aumentada, que resultou em uma Exposição Fotográfica-Audiovisual com Visita Guiada por Realidade Aumentada.",Coordenador,2,Gaia Schüler Costa | Adriano Vinicio da Silva do Carmo
6020,Gaia Schüler Costa,Campus Recanto das Emas,Experimentações Fotográficas: Explorando processos fotográficos alternativos e experimentais,EXTENSAO,EM_ANDAMENTO,2022,,"Experimentações Fotográficas: explorando processos fotográficos alternativos e experimentais é um projeto de extensão do campus Recanto das Emas do IFB que tem por objetivos explorar processos fotográficos analógicos e não convencionais.O projeto atua em experimentos e práticas que vão desde a construção dos aparatos fotográficos básicos, processos analógicos à exploração de técnicas fotográficas artesanais, alternativas e experimentais.A partir de abordagens narrativas ou técnicas, o projeto abrange diversos fazeres e experiências da produção fotográfica alternativa e experimental.",Coordenador,1,Gaia Schüler Costa
6020,Gaia Schüler Costa,Campus Recanto das Emas,Oficina de Fotografia Pinhole,EXTENSAO,CONCLUIDO,2023,2023,A oficina é uma ação de extensão do projeto Experimentações Fotográficas: explorando processos fotográficos alternativos e experimentais.Elaboração de projeto de câmeras estenopeicas para CNCProdução e aprimoramento de câmeras Produção de fotografias,Coordenador,2,Gaia Schüler Costa | Petrus Marcelino Barros
6020,Gaia Schüler Costa,Campus Recanto das Emas,Laboratório Visual Pinhole,EXTENSAO,CONCLUIDO,2023,2024,"O Laboratório é uma ação de extensão do projeto Experimentações Fotográficas: explorando processos fotográficos alternativos e experimentais, e propõe o desenvolvimento de projetos visuais com imagens de base fotográfica com câmeras pinhole.",Coordenador,2,Gaia Schüler Costa | Vinícius Fernandes Gonçalves
6020,Gaia Schüler Costa,Campus Recanto das Emas,RECCAST,OUTRA,CONCLUIDO,2022,2023,"Produção VideoCast, disponível no Canal Ema Filmes:https://www.youtube.com/watch?v=cQ-qeHxp-B8list=PLYH0GdQRC85IlI_lSf6Gr9-FaPh_9RKyQpp=iAQB",Colaborador,2,Gaia Schüler Costa | Fernando Mourão Gutierrez
6021,Aline Marcelino Arouca,Campus Samambaia,Fabricação de materiais de limpeza caseiros e higiene pessoal,EXTENSAO,CONCLUIDO,2017,2018,,Coordenador,1,Aline Marcelino Arouca
6021,Aline Marcelino Arouca,Campus Samambaia,Uso da ciência forense no ensino: ferramenta para relacionar conteúdos desenvolvidos na sala de aula com aplicação profissional.,EXTENSAO,CONCLUIDO,2018,2018,"Desenvolvimento e realização de uma Semana Forense, em que serão abordados diversos temas relacionados à ciência forense (notadamente Química, Física, Biologia e Português), relacionando conceitos estudos em sala de aula com a prática de trabalho de um perito criminal.",Coordenador,1,Aline Marcelino Arouca
6021,Aline Marcelino Arouca,Campus Samambaia,Tratamento de água contaminada com Hidrocarbonetos Policíclicos Aromáticos,PESQUISA,EM_ANDAMENTO,2023,,"A contaminação de águas com compostos orgânicos é uma preocupação, devido principalmente às características físico-químicas desses compostos, que tornam a sua remoção mais difícil. O projeto tem como objetivo específico avaliar a eficiência das técnicas de tratamento de água aplicadas na Estações de Tratamento de Água na remoção de HPAs.  Com isso, poderá ser proposto técnicas de tratamentos mais eficientes.",Coordenador,1,Aline Marcelino Arouca
6021,Aline Marcelino Arouca,Campus Samambaia,Monitoramento e Análise de Microplásticos em Esgoto do IFB - Campus Samambaia,PESQUISA,EM_ANDAMENTO,2025,,,Coordenador,2,Aline Marcelino Arouca | Milenna Milhomem Sena
6021,Aline Marcelino Arouca,Campus Samambaia,Monitoramento e Análise de Microplásticos em Esgoto do IFB - Campus Samambaia,PESQUISA,EM_ANDAMENTO,2025,,,Coordenador,1,Aline Marcelino Arouca
6021,Aline Marcelino Arouca,Campus Samambaia,Plano Interno de Gerenciamento de Resíduos Sólidos no Campus Samambaia,EXTENSAO,CONCLUIDO,2014,2014,,Coordenador,2,Aline Marcelino Arouca | Fernanda de Araújo Nóbrega
